0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
161771,3882,14,12/01/2015,H,FALSE,R16,3,5070,ESP,,,61,755,,,26.986996,188,4229,TPE,9,,46,888,,,31.4141,180,6-2 6-4,,2,0,12,6,0,0,TRUE,161771,0,82,5,2,64,44,31,12,9,5,5,6,3,59,31,22,14,9,4,7
174741,4193,281,17/06/2019,G,FALSE,R32,3,5216,ARG,3,,12,2695,,,30.729637,198,33214,CAN,,,25,1390,,,20.172485,185,7-5 6-4,,2,0,13,9,0,0,TRUE,174741,0,76,11,2,61,44,34,11,11,0,0,10,2,58,32,23,17,11,1,3
165058,3960,278,15/02/2016,H,FALSE,R32,3,11433,FRA,,WC,171,319,,,19.304586,,4095,FRA,,LL,193,281,,,33.18823,185,6-7(5) 6-2 6-3,,2,1,18,11,0,1,TRUE,165058,0,127,17,7,104,58,44,20,15,6,8,1,4,92,53,31,20,14,5,10
177296,4256,288,26/10/2020,H,TRUE,R16,3,6407,RUS,4,,6,5890,,,24.706366,198,5565,CAN,,Q,81,787,,,30.343601,193,4-6 6-3 6-2,,2,1,16,11,0,0,TRUE,177296,0,118,17,4,82,51,41,18,14,5,6,14,2,89,52,40,14,13,6,9
172633,4141,239,20/08/2018,H,FALSE,R64,3,5009,CRO,,LL,385,104,,,30.915812,193,5718,FRA,,,74,764,,,27.42505,188,6-2 6-3,,2,0,12,5,0,0,TRUE,172633,0,75,2,4,57,29,21,14,8,2,3,5,3,54,32,17,11,9,6,11
173902,4175,286,25/02/2019,C,TRUE,R16,3,11485,SRB,,,37,1127,,,23.734428,188,4291,TUN,2,,45,1007,,,35.099247,185,6-3 3-6 7-6(2),,2,1,15,15,1,0,TRUE,173902,0,151,4,1,95,68,51,12,15,2,4,5,5,108,62,48,21,15,9,11
175600,4214,292,30/09/2019,H,FALSE,R16,3,4913,GBR,,PR,503,57,,,32.377823,190,11787,GBR,,Q,69,855,,,24.104038,188,7-6(6) 6-7(4) 6-1,,2,1,18,13,1,1,TRUE,175600,0,172,6,2,98,58,41,27,16,1,3,10,4,113,78,48,17,15,9,13
161931,3884,20,2/02/2015,H,FALSE,R16,3,4467,FRA,2,,19,1730,,,30.099932,183,4273,FRA,,,127,425,,,31.181383,188,6-3 6-3,,2,0,12,6,0,0,TRUE,161931,0,78,4,2,52,29,18,15,9,3,5,1,3,71,46,26,8,9,3,8
164393,3940,17,19/10/2015,H,FALSE,R16,3,4894,NED,,,63,765,,,28.53662,190,4654,URU,5,,38,1100,,,29.79603,180,6-2 5-7 6-1,,2,1,17,10,0,0,TRUE,164393,0,,3,2,79,41,27,23,14,1,4,5,2,77,57,34,7,13,2,8
167381,4012,278,17/10/2016,H,FALSE,R32,3,5420,MDA,,,103,596,,,26.932238,175,5438,USA,5,,24,1645,,,26.81451,188,6-3 6-4,,2,0,12,7,0,0,TRUE,167381,0,79,2,1,64,39,28,17,10,3,3,4,4,60,29,23,15,9,4,6
