0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
165481,3969,270,21/03/2016,H,FALSE,R32,3,5763,BUL,26,,28,1385,,,24.848734,188,4913,GBR,2,,2,8370,,,28.85147,190,6-7(1) 6-4 6-3,,2,1,18,13,0,1,TRUE,165481,0,145,6,8,90,47,35,21,15,5,8,8,2,90,51,33,18,16,1,7
176143,4228,243,6/01/2020,H,FALSE,RR,3,5868,ITA,,,82,637,,,28.05202,185,26006,USA,,,31,1315,,,22.19028,193,7-6(3) 7-6(1),,2,0,12,12,2,0,TRUE,176143,0,102,17,0,71,47,44,11,12,3,4,6,2,81,57,39,15,12,5,6
165776,3978,239,2/05/2016,C,FALSE,R64,3,3285,CZE,,Q,148,373,,,37.429157,185,5565,CAN,,,47,975,,,25.859001,193,6-1 6-7(4) 6-4,,2,1,18,11,0,1,TRUE,165776,0,131,0,3,88,60,48,16,14,2,3,8,2,102,55,41,19,15,9,14
172046,4126,272,18/06/2018,G,FALSE,R32,3,5166,FRA,,,26,1535,,,29.968515,183,5543,GBR,,WC,340,138,,,28.071184,175,6-4 0-6 7-5,,2,1,13,15,0,0,TRUE,172046,0,121,11,5,85,53,33,17,14,2,6,2,2,89,49,36,19,14,6,9
165642,3973,275,18/04/2016,C,FALSE,R32,3,644,GER,,,51,895,,,18.995209,198,5057,BRA,15,,35,1165,,,28.301163,188,6-3 6-7(3) 7-5,,2,1,19,14,0,1,TRUE,165642,0,147,5,4,112,75,44,23,17,3,7,2,7,103,58,38,21,16,6,12
168303,4038,241,6/03/2017,H,FALSE,R64,3,6387,AUS,15,,16,2255,,,21.859001,193,4546,ARG,,,73,714,,,31.857632,188,6-3 6-4,,2,0,12,7,0,0,TRUE,168303,0,71,10,0,53,34,29,14,10,3,3,4,2,51,30,20,11,9,0,2
169179,4056,282,19/06/2017,G,FALSE,R32,3,4541,FRA,5,,10,3040,,,32.172485,188,5166,FRA,,,62,766,,,28.971937,183,6-2 6-2,,2,0,12,4,0,0,TRUE,169179,0,66,8,2,45,31,28,3,8,0,1,2,1,67,46,22,11,8,8,13
175493,4210,291,16/09/2019,H,TRUE,R16,3,5324,FRA,3,,23,1508,,,30.35729,196,4752,FRA,,,41,1200,,,33.245724,185,3-6 6-3 6-4,,2,1,15,13,0,0,TRUE,175493,0,97,15,4,77,42,36,16,14,3,5,4,2,78,54,42,11,14,3,6
162918,3910,23,10/05/2015,C,FALSE,R64,3,4259,GER,,,23,1535,,,31.56742,178,5375,USA,,,48,920,,,25.798767,183,6-4 6-1,,2,0,12,5,0,0,TRUE,162918,0,69,5,0,41,24,22,10,8,0,0,1,5,69,36,23,14,9,8,12
175135,4204,291,29/07/2019,H,FALSE,R16,3,6409,AUS,,WC,191,269,,,23.29911,,6284,FRA,4,,29,1385,,,25.42642,185,2-6 6-4 6-3,,2,1,14,13,0,0,TRUE,175135,0,121,12,4,85,51,37,19,13,4,6,5,8,102,66,45,17,14,5,8
166682,3996,286,25/07/2016,H,FALSE,R16,3,4526,SUI,2,,5,4720,,,31.326488,183,6044,USA,16,,26,1495,,,23.83299,185,7-6(3) 6-2,,2,0,12,8,1,0,TRUE,166682,0,84,4,2,71,37,26,24,10,3,3,6,3,66,43,30,13,10,4,6
166805,3999,154,8/08/2016,H,FALSE,R16,3,5438,USA,12,,22,1510,,,26.622862,188,5528,RUS,,,84,691,,,26.250513,185,6-1 6-1,,2,0,12,2,0,0,TRUE,166805,0,64,5,2,39,24,18,9,7,0,1,1,0,51,31,12,7,7,4,10
168264,4037,297,27/02/2017,C,FALSE,QF,3,4654,URU,3,,33,1085,,,31.156742,180,6029,ARG,6,,44,935,,,24.53388,170,5-7 6-4 6-4,,2,1,17,15,0,0,TRUE,168264,0,133,11,4,95,56,45,16,16,6,10,0,3,98,64,41,18,16,3,8
173038,4149,255,8/10/2018,H,FALSE,R64,3,5044,AUS,,,51,974,,,30.86653,188,26010,USA,,,40,1115,,,20.714579,188,3-6 6-4 6-3,,2,1,15,13,0,0,TRUE,173038,0,109,4,2,81,51,39,13,14,2,5,8,2,90,54,38,17,14,4,8
162223,3894,26,23/02/2015,C,FALSE,SF,3,4337,ARG,,,60,815,,,30.90486,185,4596,ESP,,,89,575,,,29.508556,183,6-3 6-7(6) 6-4,,2,1,18,13,0,1,TRUE,162223,0,148,2,1,110,86,53,12,15,12,15,7,5,102,51,37,21,16,4,10
174215,4180,241,15/04/2019,C,FALSE,R64,3,5515,GER,,,44,990,,,28.971937,193,33214,CAN,15,,20,1820,,,20,185,5-7 6-3 6-1,,2,1,17,11,0,0,TRUE,174215,0,118,4,4,90,46,33,21,14,6,9,1,10,100,58,36,18,14,10,16
169104,4053,296,12/06/2017,G,FALSE,QF,3,3333,CRO,3,,24,1730,,,38.286106,208,6407,RUS,,Q,65,760,,,21.333334,198,6-4 6-4,,2,0,12,8,0,0,TRUE,169104,0,58,7,1,49,32,28,12,10,0,0,4,2,63,43,28,11,10,1,3
163791,3928,40,3/08/2015,H,FALSE,R16,3,5442,JPN,2,,5,5525,,,25.59343,178,4914,ARG,16,,35,1080,,,28.219028,188,6-4 6-4,,2,0,12,8,0,0,TRUE,163791,0,,4,1,49,32,29,11,10,0,0,3,3,57,40,27,10,10,4,6
