,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
47,169209,4057,284,2017-06-26,G,False,R32,3,6354,IND,,Q,222,240,,,22.631075,,4296,BRA,,,68.0,708.0,,,33.393566,178.0,6-3 6-4,,2,0,12,7,0,0,True,169209,0,66.0,12,2,60,33,28,16,10,1,1,5,4,55,25,18,16,9,1,3
48,169472,4063,286,2017-07-24,H,False,R16,3,4544,USA,2.0,,20,2045,,,32.243668,206.0,5565,CAN,,,68.0,697.0,,,27.085558,193.0,6-3 6-4,,2,0,12,7,0,0,True,169472,0,67.0,10,1,44,28,27,13,10,0,0,4,2,59,31,22,14,9,3,5
49,168915,4050,288,2017-05-22,C,False,R16,3,4994,GER,,Q,33,1165,,,29.749487,190.0,4544,USA,4.0,,22.0,2020.0,,,32.071182,206.0,6-4 6-7(5) 6-3,,2,1,18,13,0,1,True,168915,0,120.0,11,1,90,63,54,17,16,4,4,9,0,98,74,49,15,15,1,3
50,171417,4110,291,2018-04-09,C,False,R16,3,6044,USA,3.0,,16,2200,,,25.538671,185.0,4546,ARG,,,66.0,798.0,,,32.950035,188.0,6-4 6-4,,2,0,12,8,0,0,True,171417,0,88.0,6,3,49,25,22,18,10,0,0,4,7,80,47,34,15,10,11,13
51,164156,3933,5,2015-09-21,H,False,R32,3,3917,FRA,,,67,722,,,33.66461,190.0,5630,ARG,,,64.0,737.0,,,24.960985,190.0,6-2 7-5,,2,0,13,7,0,0,True,164156,0,,7,0,57,41,35,7,10,3,4,4,3,78,57,34,7,10,7,11
52,171651,4117,283,2018-04-30,C,False,R32,3,5515,GER,,,62,855,,,28.013689,193.0,9038,GER,,Q,401.0,101.0,,,23.88501,,7-6(1) 6-4,,2,0,12,10,1,0,True,171651,0,87.0,5,5,78,44,31,19,11,5,7,6,3,81,59,40,7,11,6,9
53,173239,4155,268,2018-10-29,H,True,R64,3,4269,ESP,,,27,1545,,,34.95414,188.0,4868,FRA,,,40.0,1110.0,,,31.709787,188.0,6-4 6-4,,2,0,12,8,0,0,True,173239,0,80.0,9,4,62,35,26,17,10,4,5,10,7,62,32,23,13,10,4,7
54,165216,3965,1804,2016-03-04,C,False,RR,3,5828,CHN,,,172,324,,,24.459959,,8768,PAK,,,,,,,21.741274,,6-1 6-0,,2,0,12,1,0,0,True,165216,0,48.0,4,1,47,19,15,15,7,3,4,1,2,32,16,8,0,6,3,9
55,168612,4042,277,2017-04-17,C,False,R32,3,5515,GER,,Q,58,813,,,26.97878,193.0,5763,BUL,8.0,,11.0,2880.0,,,25.92197,188.0,4-6 6-3 6-2,,2,1,16,11,0,0,True,168612,0,117.0,10,1,87,54,40,18,14,1,2,4,6,88,53,34,19,13,7,10
56,169246,4058,295,2017-06-26,G,False,QF,3,4752,FRA,7.0,,27,1515,,,31.022587,185.0,4544,USA,3.0,,21.0,1930.0,,,32.167007,206.0,6-3 6-2,,2,0,12,5,0,0,True,169246,0,54.0,4,0,47,31,24,10,8,0,0,5,0,51,36,21,6,9,3,7
57,172030,4125,287,2018-06-18,G,False,R16,3,4311,ITA,,,50,1000,,,34.321697,190.0,4252,GER,,WC,82.0,691.0,,,34.70226,190.0,6-2 6-4,,2,0,12,6,0,0,True,172030,0,59.0,10,1,52,41,34,4,9,3,3,2,1,54,30,19,12,9,1,4
58,169201,4057,275,2017-06-26,G,False,R32,3,4326,BEL,,,59,821,,,33.28679,178.0,4794,UZB,,,71.0,704.0,,,30.800821,188.0,6-4 6-7(5) 6-4,,2,1,18,14,0,1,True,169201,0,140.0,12,3,122,83,64,16,16,10,11,17,0,99,67,50,16,16,5,8
